id_contribuinte,cnpj,razao_social,cnae,desc_cnae,porte,regime_tributario,bairro,data_abertura,ativo,risco_latente,email,telefone
337,47.807.740/6493-00,Abreu,4771-7,Comércio farmacêutico,MEI,MEI,Vila São Jorge,2023-11-04,1,0,nuneslarissa@souza.gov.br,+55 21 7476-7486
338,68.663.266/3416-00,Novaes,5310-5,Atividades dos correios,ME,Lucro Presumido,Catiapoa,2017-05-14,1,2,davi-luizgarcia@cunha.com,+55 71 2362 6200
339,84.631.224/1797-00,Camargo - ME,4771-7,Comércio farmacêutico,MEI,MEI,Cidade Nautica,2019-11-20,1,0,joao-guilhermesampaio@sales.edu.br,(041) 1100-0749
340,50.208.021/4427-00,Brito,4921-3,Transporte rodoviário coletivo,GR,Lucro Real,Catiapoa,2018-07-18,1,2,nunesisis@vargas.com,41 9666-7863
341,07.356.475/7051-00,da Mota Ltda.,4330-4,Acabamentos em construção,EPP,Simples Nacional,Japuí,2023-09-30,1,0,yan37@abreu.com,(011) 9496 7602
342,61.872.346/0136-00,Leão - EI,5611-2,Restaurantes e similares,MEI,MEI,Cidade Nautica,2024-06-06,1,1,joseduarte@aragao.gov.br,41 1381 7427
343,03.718.376/4520-00,Leão S.A.,8511-2,Educação infantil,MD,Lucro Presumido,Jardim Rio Branco,2022-12-02,1,0,casa-grandeluna@fernandes.br,(051) 1537 4859
344,74.350.313/6502-00,Gomes Nascimento e Filhos,5310-5,Atividades dos correios,ME,Simples Nacional,Cidade Nautica,2016-08-02,1,0,mirella79@da.br,+55 81 0544 2196
345,30.097.925/1327-00,Costa,9311-5,Academias e fitness,EPP,Simples Nacional,Vila Bocaina,2025-12-28,1,0,zrezende@da.gov.br,61 0667 2533
346,00.528.127/3585-00,Sampaio,4921-3,Transporte rodoviário coletivo,MEI,MEI,Porto Grande,2022-08-11,1,0,levipinto@pereira.gov.br,41 0733 6307
347,65.240.778/4873-00,Viana,8511-2,Educação infantil,ME,Simples Nacional,Centro,2019-11-02,1,0,asilveira@goncalves.gov.br,31 3532-8067
348,74.982.182/7448-00,Andrade,5310-5,Atividades dos correios,MEI,MEI,Vila São Jorge,2025-05-13,1,1,ayllaborges@rodrigues.org,(011) 9961-1636
349,20.959.351/8638-00,da Paz Ferreira - ME,6201-5,Desenvolvimento de software,MEI,MEI,Jardim Rio Branco,2019-01-22,1,0,da-luzgabrielly@cirino.com,(021) 3985 0112
350,45.651.181/0220-00,Nogueira,5310-5,Atividades dos correios,MEI,MEI,Alto da Boa Vista,2022-03-09,1,0,stellalima@pimenta.br,+55 (031) 9444 1968
351,09.678.994/0539-00,Correia S.A.,8512-1,Ensino fundamental,ME,Simples Nacional,Vila Margarida,2024-07-07,1,0,ana-julia69@moura.com,0300 004 2995
352,71.705.865/0948-00,Mendes,6201-5,Desenvolvimento de software,MEI,MEI,Vila Nova,2021-06-16,0,0,dfernandes@vargas.br,(021) 9135 0554
353,38.113.863/3839-00,Rocha,7490-1,Consultoria empresarial,MEI,MEI,Vila Margarida,2024-09-06,1,2,fernando32@ribeiro.com.br,+55 11 2433-7114
354,19.576.122/8685-00,Aragão,5620-1,Serviços de alimentação,MEI,MEI,Jardim Rio Branco,2023-05-22,1,1,ycampos@siqueira.br,+55 61 1389 2904
355,55.855.665/9398-00,da Cunha,5310-5,Atividades dos correios,MEI,MEI,Porto Grande,2019-12-13,1,1,eduarda69@almeida.br,+55 21 2718 1377
356,77.600.490/8240-00,da Conceição da Paz - EI,5310-5,Atividades dos correios,EPP,Lucro Presumido,Vila São Jorge,2021-02-16,1,0,ana-beatrizcamargo@cardoso.net,71 9072 8753
357,50.488.899/2107-00,Nogueira,4330-4,Acabamentos em construção,ME,Simples Nacional,Ilha Porchat,2021-10-31,1,0,csales@ferreira.br,21 7265 6750
358,93.344.196/9315-00,Aparecida Aparecida - ME,5611-2,Restaurantes e similares,MEI,MEI,Vila São Jorge,2023-10-10,1,2,luiz-henriquesiqueira@cardoso.com,+55 (051) 9592 3579
359,91.940.961/0556-00,Dias Pacheco Ltda.,5620-1,Serviços de alimentação,EPP,Lucro Presumido,Ilha Porchat,2020-04-21,1,2,rodrigo41@duarte.edu.br,(021) 4127-4630
360,90.604.805/8925-00,Novais Andrade - ME,8599-6,Treinamento e capacitação,MEI,MEI,Jardim Rio Branco,2021-05-02,1,1,vianasara@camargo.gov.br,+55 (011) 9460-4472
361,67.998.136/4622-00,Moura,4330-4,Acabamentos em construção,MD,Lucro Presumido,Centro,2019-05-12,1,0,vcaldeira@costa.gov.br,61 0993-9187
362,64.168.622/7837-00,Cardoso,8512-1,Ensino fundamental,MEI,MEI,Esplanada dos Barreiros,2026-01-23,1,1,sda-paz@mendes.com.br,21 0314-8230
363,98.331.465/9116-00,Barbosa,9311-5,Academias e fitness,ME,Simples Nacional,Esplanada dos Barreiros,2017-06-18,1,1,cauapacheco@garcia.br,(041) 1172-8541
364,59.042.597/9270-00,Souza Cavalcante e Filhos,6920-6,Atividades contábeis,MEI,MEI,Vila São Jorge,2021-07-19,1,1,castrohadassa@cirino.br,+55 (011) 7819-2741
365,52.110.392/4051-00,Macedo,4330-4,Acabamentos em construção,MEI,MEI,Vila Nova,2018-01-30,1,0,liviarocha@cirino.gov.br,71 8445-8478
366,38.338.848/7920-00,Pimenta Teixeira S/A,8512-1,Ensino fundamental,MEI,MEI,Vila São Jorge,2022-05-14,1,1,caue05@cavalcante.com,(084) 4148 9754
367,20.439.407/0164-00,Brito,4771-7,Comércio farmacêutico,EPP,Simples Nacional,Cidade Nautica,2018-08-09,1,0,joao-gabrielmonteiro@monteiro.com,+55 41 9753 5819
368,46.368.157/9812-00,Nogueira - EI,6920-6,Atividades contábeis,ME,Simples Nacional,Centro,2017-09-04,1,2,moreiraolivia@pacheco.net,(071) 1325-6962
369,38.457.620/5554-00,Viana,8511-2,Educação infantil,ME,Simples Nacional,Centro,2016-09-02,1,1,cunhaleandro@cardoso.com.br,(041) 0550 8288
370,04.608.432/5621-00,da Costa,4771-7,Comércio farmacêutico,ME,Lucro Presumido,Glória,2020-02-15,1,0,marquesbernardo@da.com,31 9086 9234
371,39.264.957/8232-00,Moraes,4771-7,Comércio farmacêutico,ME,Simples Nacional,Vila Bocaina,2020-04-19,1,0,noahpinto@machado.br,84 2691 3626
372,82.629.251/8812-00,Montenegro,4120-4,Construção de edifícios,EPP,Simples Nacional,Cidade Nautica,2019-11-22,1,0,da-matalara@nunes.com,(031) 3463 8810
373,56.647.423/1220-00,Pires - ME,5611-2,Restaurantes e similares,MEI,MEI,Glória,2016-08-02,1,2,melovalentina@sa.gov.br,+55 (041) 0317 5836
374,99.393.305/1728-00,Macedo S.A.,4921-3,Transporte rodoviário coletivo,ME,Lucro Presumido,Alto da Boa Vista,2025-02-19,1,0,olivia28@guerra.net,0300 409 6162
375,67.722.330/6046-00,Alves,8512-1,Ensino fundamental,MD,Lucro Real,Japuí,2023-11-11,1,1,santoshenry@barbosa.org,+55 (031) 0638 7430
376,27.975.736/6096-00,da Costa Dias Ltda.,4120-4,Construção de edifícios,MEI,MEI,Vila Margarida,2019-08-23,1,2,portostella@moura.edu.br,+55 71 4182-2790
377,17.703.886/0868-00,Souza,7711-0,Locação de automóveis,ME,Simples Nacional,Esplanada dos Barreiros,2019-12-06,1,0,davi-miguelcardoso@da.com.br,71 2941-4320
378,76.447.264/9082-00,Costa,6202-3,Desenvolvimento de sistemas,MEI,MEI,Cidade Nautica,2021-08-10,1,1,alana84@abreu.com,+55 11 2596-2089
379,81.298.266/5702-00,Sales e Filhos,8511-2,Educação infantil,ME,Simples Nacional,Jardim Rio Branco,2021-02-06,1,0,costaolivia@vieira.org,84 7760-9560
380,45.211.175/1868-00,Pimenta,4120-4,Construção de edifícios,MD,Lucro Real,Vila Margarida,2022-07-20,1,1,qabreu@peixoto.com.br,31 9103 3480
381,60.259.222/2064-00,Rios Pereira - EI,5620-1,Serviços de alimentação,MEI,MEI,Esplanada dos Barreiros,2026-04-02,1,0,camaraleo@souza.com.br,+55 (021) 2961 4676
382,21.230.940/7778-00,Pacheco,8511-2,Educação infantil,MEI,MEI,Vila Nova,2024-05-11,1,1,anthonymoura@costela.gov.br,41 9804-1004
383,39.776.719/9038-00,Viana Ltda.,4921-3,Transporte rodoviário coletivo,MEI,MEI,Catiapoa,2025-02-22,1,0,arthur-miguel24@martins.com.br,+55 (051) 2806 9788
384,22.050.209/9451-00,da Cunha Nogueira - EI,5310-5,Atividades dos correios,EPP,Simples Nacional,Centro,2025-10-19,0,2,maria-vitoria85@abreu.com,+55 (031) 2377-6566
385,49.998.279/5014-00,Viana Costa S/A,9602-5,Cabeleireiros e similares,MEI,MEI,Japuí,2018-07-30,1,1,fsouza@da.com.br,+55 (061) 6986-7120
386,68.147.214/5868-00,Caldeira Pires S.A.,7711-0,Locação de automóveis,MEI,MEI,Glória,2021-10-24,1,1,olivia86@abreu.com.br,0900 721 7206
387,98.179.469/5489-00,Casa Grande Montenegro e Filhos,4120-4,Construção de edifícios,MEI,MEI,Vila Margarida,2020-01-23,1,0,murilorios@albuquerque.com,+55 (061) 8339 8516
388,97.877.293/4301-00,da Paz - ME,6920-6,Atividades contábeis,EPP,Simples Nacional,Alto da Boa Vista,2023-02-09,0,0,raquelnunes@peixoto.gov.br,(084) 3528-6902
389,96.605.583/0344-00,Araújo,8599-6,Treinamento e capacitação,MEI,MEI,Glória,2024-07-26,1,1,aferreira@sales.com,+55 41 8871 7000
390,85.015.569/9023-00,Moura,8650-0,Atividades de saúde humana,EPP,Lucro Presumido,Esplanada dos Barreiros,2022-10-18,1,1,luiz-henriquefarias@viana.edu.br,0300-655-6718
391,70.272.785/7608-00,Araújo,6911-7,Atividades jurídicas,EPP,Lucro Presumido,Porto Grande,2024-02-19,1,0,luara85@sampaio.com,61 5465-2450
392,95.512.405/6829-00,Barros,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,2020-01-08,1,0,liam15@campos.com.br,+55 11 1244 8908
393,45.046.173/5743-00,Sousa Marques S/A,5620-1,Serviços de alimentação,MEI,MEI,Ilha Porchat,2019-07-12,1,2,lunnamarques@aparecida.net,+55 71 1477 4112
394,03.178.078/2357-00,da Rocha,5620-1,Serviços de alimentação,ME,Simples Nacional,Vila São Jorge,2017-08-16,1,0,lsilva@rezende.com,(051) 2714 9084
395,52.182.307/6810-00,Garcia,4771-7,Comércio farmacêutico,ME,Lucro Presumido,Glória,2023-10-18,1,2,diogorezende@silveira.com.br,(031) 7156-5050
396,70.184.094/3533-00,Pereira Mendonça e Filhos,6202-3,Desenvolvimento de sistemas,MEI,MEI,Vila São Jorge,2020-09-23,1,0,davi-luiz19@nascimento.net,81 9220 7617
397,71.422.410/9881-00,Cardoso Jesus Ltda.,5310-5,Atividades dos correios,ME,Lucro Presumido,Glória,2024-07-24,1,1,da-matayasmin@carvalho.br,71 9362 9209
398,24.932.149/5870-00,Pacheco,6920-6,Atividades contábeis,MEI,MEI,Cidade Nautica,2023-06-06,1,2,martinsbrayan@moreira.gov.br,(051) 6341 1938
399,60.166.299/7954-00,Araújo Alves Ltda.,8512-1,Ensino fundamental,MD,Lucro Presumido,Vila Margarida,2022-07-09,1,0,pmoura@montenegro.com.br,+55 (041) 8182-0790
400,79.217.174/7733-00,Correia - ME,4120-4,Construção de edifícios,EPP,Simples Nacional,Porto Grande,2020-10-27,1,2,rda-luz@camara.gov.br,0500-914-1736
401,56.255.770/1715-00,Campos,4921-3,Transporte rodoviário coletivo,EPP,Lucro Presumido,Porto Grande,2018-01-12,1,0,ymonteiro@freitas.br,31 1743 4624
402,59.928.161/5814-00,Rodrigues,5620-1,Serviços de alimentação,ME,Lucro Presumido,Glória,2020-05-23,1,1,ysousa@duarte.com,61 0602 9745
403,93.827.615/3966-00,Carvalho Novaes e Filhos,7711-0,Locação de automóveis,ME,Lucro Presumido,Catiapoa,2024-07-30,1,1,ccastro@silveira.gov.br,0900 408 5021
404,19.719.975/8172-00,da Mota,6911-7,Atividades jurídicas,MD,Lucro Presumido,Japuí,2025-12-02,1,2,ksales@peixoto.com,+55 31 6236-4867
405,19.657.013/2902-00,Carvalho,7711-0,Locação de automóveis,ME,Simples Nacional,Alto da Boa Vista,2019-05-07,1,0,matteo67@da.com.br,+55 81 5697 2269
406,99.733.549/4651-00,Farias Borges - EI,8511-2,Educação infantil,GR,Lucro Real,Vila Bocaina,2024-03-09,1,1,almeidamaria-fernanda@pinto.net,+55 81 4507-9245
407,24.058.008/5140-00,Vasconcelos Pires S.A.,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,2016-11-16,1,2,salessofia@sampaio.com,41 3359 1492
408,56.666.832/7238-00,Dias,9311-5,Academias e fitness,MD,Lucro Real,Vila Nova,2018-05-23,1,0,aalves@cavalcanti.net,81 8132-4233
409,42.201.027/6212-00,Teixeira,6920-6,Atividades contábeis,ME,Lucro Presumido,Japuí,2022-09-01,1,0,ycastro@rodrigues.gov.br,11 6264-1259
410,96.927.868/7653-00,Brito,9602-5,Cabeleireiros e similares,MEI,MEI,Porto Grande,2024-11-30,1,0,silvajoao-gabriel@fonseca.com,0800-931-0624
411,73.846.895/0097-00,Montenegro - ME,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Alto da Boa Vista,2020-09-17,1,0,arthur-miguelviana@nunes.com.br,+55 (071) 7361-4799
412,12.847.818/9137-00,Martins,8599-6,Treinamento e capacitação,MEI,MEI,Jardim Rio Branco,2021-03-02,1,0,isadoracastro@correia.net,+55 31 8481-0742
413,05.807.787/9565-00,Martins e Filhos,7490-1,Consultoria empresarial,ME,Lucro Presumido,Alto da Boa Vista,2018-05-15,1,2,eduardolopes@macedo.com,21 2002-9974
414,09.494.079/2904-00,Silva Cavalcante e Filhos,8650-0,Atividades de saúde humana,MEI,MEI,Japuí,2016-08-23,1,0,zmoura@novaes.br,0300 683 8104
415,71.281.442/9444-00,Pastor Peixoto - EI,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Cidade Nautica,2025-04-22,0,0,igomes@vieira.net,(071) 2415 5694
416,92.752.437/2805-00,da Paz,8599-6,Treinamento e capacitação,MEI,MEI,Porto Grande,2022-07-31,1,0,antoniofreitas@silveira.br,0900 595 2218
417,76.637.239/5041-00,Fogaça Vargas - ME,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,2025-12-14,1,0,msantos@da.br,(061) 6167-4561
418,47.836.674/2860-00,da Conceição Moraes S.A.,8511-2,Educação infantil,ME,Lucro Presumido,Parque Bitaru,2018-09-01,1,0,raelcostela@da.gov.br,(041) 5289-8296
419,58.018.569/4544-00,Moraes Ltda.,8511-2,Educação infantil,MD,Lucro Real,Vila Nova,2023-11-03,1,0,sampaiojoao-lucas@ribeiro.gov.br,(071) 6233-2151
420,39.385.258/0010-00,Dias Macedo - ME,8630-5,Atividades de atenção à saúde,ME,Lucro Presumido,Parque Bitaru,2017-01-28,1,1,castroana-livia@lopes.net,0500 899 2997
421,75.344.300/9109-00,Moreira,4771-7,Comércio farmacêutico,MEI,MEI,Vila Nova,2016-08-10,1,1,ivargas@da.gov.br,(021) 4546 7412
422,11.926.921/2447-00,Nascimento,4120-4,Construção de edifícios,MEI,MEI,Jardim Rio Branco,2025-03-29,1,2,nunesfernanda@silva.br,(071) 5318-1266
423,46.542.140/6650-00,Cunha - ME,7490-1,Consultoria empresarial,MEI,MEI,Porto Grande,2020-01-09,1,0,olivia81@da.br,51 1871 8875
424,17.396.271/2863-00,Nunes Leão S/A,8630-5,Atividades de atenção à saúde,MEI,MEI,Parque Bitaru,2022-06-28,1,2,joao-lucasferreira@albuquerque.com,(071) 7713-6534
425,41.011.947/0720-00,Cardoso,8599-6,Treinamento e capacitação,ME,Lucro Presumido,Jardim Rio Branco,2017-11-10,1,0,casa-grandelucca@moura.com,+55 81 3560 0905
426,56.908.776/6183-00,Mendes,7711-0,Locação de automóveis,MEI,MEI,Japuí,2025-01-03,0,1,karagao@moreira.gov.br,11 3088 0356
427,85.546.015/8517-00,Casa Grande S/A,8512-1,Ensino fundamental,MEI,MEI,Alto da Boa Vista,2017-03-12,1,2,wduarte@barros.gov.br,(051) 7747-4407
428,80.634.615/7173-00,Viana,8650-0,Atividades de saúde humana,MEI,MEI,Japuí,2019-11-25,1,0,ycavalcanti@duarte.com.br,+55 61 2786-6280
429,93.761.847/8700-00,Novais,4120-4,Construção de edifícios,MEI,MEI,Jardim Rio Branco,2024-12-01,1,0,amandaaragao@moura.com.br,31 9895 6527
430,13.878.293/1027-00,Lima,6911-7,Atividades jurídicas,ME,Simples Nacional,Vila Bocaina,2023-01-20,1,0,qguerra@da.com.br,+55 (081) 7214 6418
431,20.204.179/2911-00,Machado,8512-1,Ensino fundamental,EPP,Simples Nacional,Catiapoa,2022-04-25,1,0,joao-lucas96@da.br,+55 71 5012-0500
432,36.565.198/2530-00,Guerra,4921-3,Transporte rodoviário coletivo,ME,Simples Nacional,Vila Margarida,2017-09-13,1,0,emanuellygomes@rodrigues.com,+55 (041) 0285 7572
433,42.625.827/3902-00,Costa,6911-7,Atividades jurídicas,ME,Simples Nacional,Vila Margarida,2017-11-03,1,0,vasconcelosisabel@castro.net,84 4972 3697
434,20.710.021/9467-00,Andrade Macedo - EI,4921-3,Transporte rodoviário coletivo,MEI,MEI,Glória,2021-08-13,1,0,lucassampaio@novais.org,+55 51 1991 0802
435,48.763.290/9279-00,Dias,4120-4,Construção de edifícios,MD,Lucro Presumido,Vila Nova,2025-01-29,1,2,gcarvalho@pacheco.edu.br,+55 (081) 3697 2112
436,08.331.819/5883-00,Araújo Freitas e Filhos,8650-0,Atividades de saúde humana,ME,Lucro Presumido,Vila Bocaina,2024-05-06,1,0,novaiserick@souza.com,(071) 3536-9059
437,31.277.220/0543-00,Rocha Marques Ltda.,4120-4,Construção de edifícios,ME,Lucro Presumido,Centro,2020-11-13,1,0,duartevitoria@cunha.br,+55 (021) 5926 7428
438,10.822.078/1137-00,Caldeira S.A.,6911-7,Atividades jurídicas,MEI,MEI,Centro,2025-09-13,1,0,vieirarhavi@cavalcanti.edu.br,71 9141-2060
439,53.153.136/3631-00,Correia,6911-7,Atividades jurídicas,EPP,Lucro Presumido,Catiapoa,2020-04-03,1,1,ana-vitoria50@pastor.com,51 8486 0351
440,62.397.265/2735-00,Sampaio,8512-1,Ensino fundamental,MEI,MEI,Porto Grande,2020-10-11,1,0,gnascimento@gomes.com,84 5687 3550
441,09.042.177/6253-00,Sousa Vieira S/A,4120-4,Construção de edifícios,MEI,MEI,Japuí,2020-10-03,1,1,freitasvitor-hugo@cavalcanti.edu.br,0900 611 9014
442,92.983.168/7397-00,Lopes,4921-3,Transporte rodoviário coletivo,MEI,MEI,Glória,2023-04-29,1,0,loliveira@pimenta.gov.br,+55 (011) 3603-3123
443,63.356.939/2906-00,Ribeiro Fonseca Ltda.,8630-5,Atividades de atenção à saúde,EPP,Simples Nacional,Jardim Rio Branco,2021-10-11,1,0,maria-alice33@novaes.br,+55 84 3956 2069
444,80.686.717/7318-00,Pimenta,6202-3,Desenvolvimento de sistemas,EPP,Lucro Presumido,Jardim Rio Branco,2024-01-03,1,0,marquespietro@da.com.br,51 3162 4220
445,54.310.742/7990-00,Pereira S/A,9602-5,Cabeleireiros e similares,MEI,MEI,Japuí,2025-06-12,1,0,maria-luizarodrigues@correia.gov.br,84 7261 7417
446,62.570.165/8046-00,Porto Macedo e Filhos,8511-2,Educação infantil,EPP,Simples Nacional,Ilha Porchat,2016-11-25,1,2,luiz-henriquecassiano@pastor.com,(061) 5513-8730
447,19.508.501/6579-00,Nogueira - ME,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Glória,2020-06-04,0,0,ynascimento@fonseca.com.br,+55 (051) 6779-3186
448,81.832.538/1793-00,Nunes - EI,6920-6,Atividades contábeis,EPP,Simples Nacional,Vila Nova,2025-01-24,1,0,davi-lucas13@costa.br,11 8053 5075
449,48.640.155/7788-00,Aparecida,4330-4,Acabamentos em construção,MEI,MEI,Vila São Jorge,2022-03-16,1,2,souzaana-cecilia@rios.br,+55 (031) 9984 9257
450,95.137.116/2411-00,Castro Sousa S.A.,8512-1,Ensino fundamental,MEI,MEI,Parque Bitaru,2023-02-22,1,0,isabela80@brito.com.br,+55 11 1856-5163
451,23.804.682/7567-00,Pimenta,8599-6,Treinamento e capacitação,MEI,MEI,Parque Bitaru,2025-03-12,1,0,agatha64@costela.com,+55 (021) 5880 7416
452,10.385.695/5798-00,Azevedo,6201-5,Desenvolvimento de software,MEI,MEI,Catiapoa,2025-08-01,1,0,mariane06@vasconcelos.br,+55 11 9602-0971
453,92.424.375/4025-00,Sampaio Pinto S.A.,8511-2,Educação infantil,ME,Lucro Presumido,Cidade Nautica,2022-02-25,1,2,avasconcelos@siqueira.gov.br,+55 11 7456-0381
454,84.222.231/0592-00,Melo Porto - EI,5620-1,Serviços de alimentação,EPP,Simples Nacional,Jardim Rio Branco,2021-06-25,1,0,danielaparecida@da.gov.br,31 1983 3804
455,80.552.578/2841-00,Costela Ferreira S.A.,6920-6,Atividades contábeis,MEI,MEI,Catiapoa,2025-01-06,1,0,maya53@da.com,81 7232-3659
456,27.520.885/4749-00,Rios,7711-0,Locação de automóveis,ME,Lucro Presumido,Glória,2021-07-28,1,0,ana-luizamoura@cardoso.com.br,(041) 8405 8580
457,17.028.140/6937-00,Nunes - ME,9311-5,Academias e fitness,ME,Lucro Presumido,Vila São Jorge,2016-05-12,1,0,ericklima@abreu.com.br,61 6460-1332
458,39.834.301/8718-00,Alves - EI,6911-7,Atividades jurídicas,ME,Simples Nacional,Alto da Boa Vista,2023-10-24,1,0,marceloandrade@albuquerque.com,81 7525 1547
459,98.056.265/6504-00,Vieira,8512-1,Ensino fundamental,MEI,MEI,Alto da Boa Vista,2016-06-06,1,2,alexia19@vasconcelos.br,+55 61 3076-6487
460,81.376.742/6629-00,Araújo,8650-0,Atividades de saúde humana,EPP,Lucro Presumido,Ilha Porchat,2025-10-24,1,0,sofianovais@da.gov.br,+55 11 0233-2933
461,78.519.610/6462-00,Porto,5611-2,Restaurantes e similares,MD,Lucro Presumido,Cidade Nautica,2017-05-04,1,0,mayagoncalves@pimenta.com,+55 21 6573-1633
462,26.487.049/4787-00,Pires,9311-5,Academias e fitness,MD,Lucro Presumido,Catiapoa,2018-04-24,1,1,santossofia@leao.br,(071) 7813 8171
463,47.146.273/0147-00,Nascimento - EI,6201-5,Desenvolvimento de software,ME,Simples Nacional,Cidade Nautica,2020-10-11,1,0,lavinia82@marques.com,+55 11 2438 1381
464,79.647.158/9042-00,Campos Silveira S.A.,7490-1,Consultoria empresarial,MEI,MEI,Alto da Boa Vista,2017-06-27,1,0,xmendonca@rios.net,+55 41 8009 4023
465,25.204.565/0448-00,Rios,5611-2,Restaurantes e similares,ME,Lucro Presumido,Parque Bitaru,2025-10-13,1,0,andre47@vieira.com,(084) 3584 4453
466,21.928.554/4518-00,Dias Mendes S.A.,7490-1,Consultoria empresarial,MEI,MEI,Glória,2025-10-01,1,1,emanuella59@carvalho.br,0300 451 3177
467,84.576.521/3283-00,Guerra S/A,5611-2,Restaurantes e similares,GR,Lucro Real,Japuí,2016-08-12,1,0,marcela04@ramos.net,(021) 3403 1313
468,71.120.754/5279-00,Pinto,5310-5,Atividades dos correios,MEI,MEI,Vila Bocaina,2021-05-05,1,0,ana-liviacavalcante@ribeiro.br,+55 71 1560-6841
469,40.132.234/2321-00,Gomes Porto - EI,6911-7,Atividades jurídicas,MEI,MEI,Jardim Rio Branco,2018-01-28,1,2,rebeca75@mendonca.br,+55 (021) 5459-2452
470,76.031.089/0714-00,da Rocha e Filhos,8599-6,Treinamento e capacitação,MEI,MEI,Centro,2025-07-08,0,0,kamilly99@nogueira.com.br,(081) 1782-1856
471,11.939.325/0124-00,Rios Farias - EI,8650-0,Atividades de saúde humana,MEI,MEI,Glória,2023-03-17,1,0,sribeiro@da.com,0800-740-5631
472,89.389.119/0833-00,Melo da Paz - ME,6920-6,Atividades contábeis,EPP,Lucro Presumido,Japuí,2020-12-13,1,1,pbarbosa@pastor.br,0800-866-9023
473,13.875.927/1256-00,Mendonça,5620-1,Serviços de alimentação,MEI,MEI,Jardim Rio Branco,2020-10-12,1,0,sampaioarthur@azevedo.br,0300-133-5843
474,15.171.827/5480-00,Pacheco Macedo e Filhos,4771-7,Comércio farmacêutico,MEI,MEI,Vila Bocaina,2024-09-04,1,2,riosstephany@pereira.com,+55 71 6788 5652
475,47.947.386/4631-00,Pastor,8512-1,Ensino fundamental,MD,Lucro Presumido,Vila Bocaina,2025-05-25,1,0,liz46@ferreira.org,+55 (081) 2219-5522
476,07.167.811/2669-00,Fonseca Guerra - ME,8512-1,Ensino fundamental,ME,Lucro Presumido,Japuí,2023-09-04,1,1,sda-rocha@azevedo.net,+55 41 4636-7989
477,35.396.136/7499-00,Marques - EI,5620-1,Serviços de alimentação,MEI,MEI,Vila São Jorge,2020-12-17,1,2,fcastro@souza.gov.br,+55 31 6765-7630
478,96.784.271/1477-00,Dias,7711-0,Locação de automóveis,ME,Lucro Presumido,Parque Bitaru,2020-09-27,1,0,theodoro74@pastor.com,(071) 5834-5886
479,01.702.695/2499-00,Pinto,5611-2,Restaurantes e similares,ME,Simples Nacional,Vila Margarida,2018-05-19,1,0,luiz-fernando38@silva.com,+55 (031) 7731-8927
480,73.477.848/5880-00,Duarte,7490-1,Consultoria empresarial,MEI,MEI,Glória,2025-06-17,1,1,thiago71@garcia.com.br,41 9403 6256
481,16.756.770/0284-00,Moreira - ME,6202-3,Desenvolvimento de sistemas,MEI,MEI,Porto Grande,2018-11-06,1,1,rhavi99@da.gov.br,41 6262-2869
482,24.671.978/8977-00,Almeida - ME,5620-1,Serviços de alimentação,MEI,MEI,Vila Bocaina,2021-07-01,1,0,davi-miguel03@siqueira.gov.br,(061) 8467-9642
483,47.969.545/0090-00,Gomes,5620-1,Serviços de alimentação,MEI,MEI,Vila Bocaina,2018-04-15,1,0,ufernandes@silva.br,(031) 4580-7801
484,90.561.655/6503-00,da Conceição,6920-6,Atividades contábeis,EPP,Lucro Presumido,Glória,2025-01-29,1,0,antonio59@sa.com,+55 84 6953 8041
485,14.152.085/0769-00,Dias S.A.,8650-0,Atividades de saúde humana,ME,Simples Nacional,Porto Grande,2016-08-08,1,0,helena51@sampaio.edu.br,84 2721 7970
486,79.056.965/9171-00,Sá e Filhos,9602-5,Cabeleireiros e similares,EPP,Lucro Presumido,Centro,2023-04-30,1,2,henry-gabrielborges@cardoso.gov.br,0900-697-5312
487,85.294.563/7183-00,Silva,4120-4,Construção de edifícios,EPP,Lucro Presumido,Parque Bitaru,2018-09-24,1,0,maria-julia65@cavalcante.com,31 8697 0430
488,63.919.195/4198-00,Gonçalves,6202-3,Desenvolvimento de sistemas,MEI,MEI,Alto da Boa Vista,2023-10-25,1,0,daparecida@freitas.com,21 5344 0923
489,14.846.853/6649-00,Moura - EI,4120-4,Construção de edifícios,ME,Lucro Presumido,Glória,2024-09-06,1,0,isabella92@mendes.com.br,+55 (061) 7071 5095
490,08.297.374/8969-00,Pires S/A,5310-5,Atividades dos correios,ME,Simples Nacional,Porto Grande,2022-03-12,1,0,dpastor@cardoso.com.br,+55 41 6304-5526
491,72.324.665/1364-00,Pimenta,6202-3,Desenvolvimento de sistemas,MEI,MEI,Vila São Jorge,2021-09-02,1,1,icorreia@vasconcelos.com,(071) 9023 0762
492,93.631.230/3477-00,Ramos S.A.,5620-1,Serviços de alimentação,MEI,MEI,Vila Nova,2023-07-20,1,0,ralmeida@gomes.com,0800 844 6836
493,03.242.044/8207-00,Monteiro - EI,9602-5,Cabeleireiros e similares,EPP,Lucro Presumido,Vila Nova,2024-04-23,1,0,earagao@da.org,61 1113-8979
